Test,Variable,Range,q05,q25,q50,q75,q95
length,count,30 - 10,0.00% (1.00),0.00% (1.00),0.00% (1.00),3.51% (0.33),9.59% (0.78)
length,count,30 - 37,-8.93% (0.67),0.00% (1.00),0.00% (1.00),0.00% (1.00),0.00% (1.00)
length,duration,30 - 10,-2.16% (0.95),-1.12% (0.94),-0.34% (0.66),0.00% (1.00),1.05% (0.71)
length,duration,30 - 37,-2.58% (0.87),0.00% (1.00),0.00% (1.00),0.00% (1.00),2.06% (0.82)
length,max. intensity,30 - 10,-0.65% (0.98),-0.36% (0.98),-0.15% (0.97),0.02% (0.23),0.29% (0.91)
length,max. intensity,30 - 37,-0.40% (0.82),-0.13% (0.66),0.04% (0.42),0.19% (0.89),0.44% (0.84)
missing,count,0.00 - 0.25,0.00% (1.00),0.00% (1.00),5.23% (0.67),8.75% (0.78),19.12% (0.86)
missing,count,0.26 - 0.50,-0.85% (0.07),-5.47% (0.70),-5.64% (0.72),-8.41% (0.81),-12.12% (0.85)
missing,duration,0.00 - 0.50,-1.80% (0.81),-2.17% (0.97),-2.07% (0.99),-1.95% (0.99),-1.59% (0.93)
missing,max. intensity,0.00 - 0.50,-2.66% (0.86),-2.17% (0.74),-0.70% (0.74),-0.20% (0.54),-0.01% (0.10)
interp,count,0.00 - 0.50,0.00% (1.00),0.00% (1.00),0.00% (1.00),0.00% (1.00),0.00% (1.00)
interp,duration,0.00 - 0.50,-0.12% (0.91),0.00% (1.00),0.02% (0.32),0.20% (0.88),1.26% (0.97)
interp,max. intensity,0.00 - 0.50,-0.31% (0.98),-0.09% (0.81),-0.01% (0.77),0.00% (0.02),0.01% (0.98)
trend,count,0.00 - 0.30,0.00% (1.00),0.00% (1.00),0.00% (1.00),0.00% (1.00),0.00% (1.00)
trend,duration,0.00 - 0.30,0.00% (1.00),0.35% (0.92),1.07% (0.98),2.70% (1.00),5.66% (0.98)
trend,max. intensity,0.00 - 0.30,0.27% (1.00),0.44% (1.00),0.59% (1.00),0.79% (1.00),1.19% (1.00)
